SITE_ID,BASIN,PLOT,SUBPLOT,DEPTH_0.5m ,DEPTH_1.0m ,DEPTH_1.5m,DEPTH_2.0m,DEPTH_2.5m,average,REMARKS
N1-26V,N1,26,EAST,7,4,6.5,4,6.5,5.6,
N1-27V,N1,27,NORTH,2,2,4,2,1,2.2,
N1-27V,N1,27,WEST,8,8,10,12,9,9.4,
N1-27V,N1,27,EAST,0,0,45,30,15,18,
N1-27V,N1,27,SOUTH,21,22,10,20,17,18,
N2-1VB,N2,1,EAST,24,18,23,28,15,21.6,
N2-1VB,N2,1,SOUTH,25,20,25,30,ROOTS,25,
N2-1VB,N2,1,NORTH,ROOTS,ROOTS,ROOTS,ROOTS,ROOTS,na,
N2-1VB,N2,1,WEST,,,,,,na,NO LITTER DEPTS WERE TAKEN DUE TO LARGE WOODY DEBRIS
N2-2VB,N2,2,NORTH,9,2,3,1,4,3.8,
N2-2VB,N2,2,WEST,6,6,5,5,6,5.6,
N2-2VB,N2,2,SOUTH,21,>30,18,16,14,17.25,
N2-2VB,N2,2,EAST,CWD,9,CWD,7,18,11.33333333,
N2-3V,N2,3,SOUTH,13,10,8,7,3,8.2,
N2-3V,N2,3,NORTH,14,12,10,7,3,9.2,
N2-3V,N2,3,EAST,11,14,10,12,7,10.8,
N2-3V,N2,3,WEST,8,8,10,12,13,10.2,
N2-5V,N2,5,SOUTH,11,22,18,15,16,16.4,
N2-5V,N2,5,WEST,12,12,22,10,>30,14,
N2-5V,N2,5,EAST,17,10,ROOTS,16,>30,14.33333333,
N2-5V,N2,5,NORTH,>30,>30,>30,>30,>30,30,HOLLOWED OUT NEAR STUMPS
N2-7VB,N2,7,WEST,4,2,2,3,2,2.6,
N2-7VB,N2,7,EAST,4,8,3,ROOTS,11,6.5,
N2-7VB,N2,7,NORTH,3,7,8,ROOTS,12,7.5,
N2-7VB,N2,7,SOUTH,8,9,,,,8.5,LARGE TREE IN TRANSECT
N2-10VB,N2,10,NORTH,CWD,12,13,4,2,7.75,
N2-10VB,N2,10,EAST,22,14,18,14,5,14.6,
N2-10VB,N2,10,WEST,15,15,6,29,7,14.4,
N2-10VB,N2,10,SOUTH,10,CWD,23,21,8,15.5,
N2-12V,N2,12,WEST,>30,18,8,3,5,8.5,
N2-12V,N2,12,EAST,2,4,ROOTS,ROOTS,5,3.666666667,
N2-12V,N2,12,NORTH,25,18,5,17,12,15.4,
N2-12V,N2,12,SOUTH,4,6,6,11,13,8,
N2-13VB,N2,13,NORTH,11,11,3,15,9,9.8,
N2-14V,N2,14,SOUTH,4,5,10,13,12,8.8,
N2-14V,N2,14,WEST,9,14,13,17,13,13.2,
N2-14V,N2,14,NORTH,24,25,14,11,18,18.4,
N2-14V,N2,14,EAST,16,12,22,26,19,19,
N2-15VB,N2,15,EAST,28,>30,11,13,15,16.75,
N2-15VB,N2,15,WEST,15,18,20,22,15,18,
N2-15VB,N2,15,NORTH,18,12,14,16,21,16.2,
N2-15VB,N2,15,SOUTH,10,11,19,16,25,16.2,
N2-18VB,N2,18,NORTH,5,5,5,ROOTS,11,6.5,
N2-18VB,N2,18,EAST,ROOTS,ROOTS,ROOTS,ROOTS,11,11,MOST OF TRANSECT IN ROTTING ROOT SYSTEM
N2-18VB,N2,18,WEST,5,3,10,ROOTS,20,9.5,
N2-18VB,N2,18,SOUTH,,,,,28,,
N2-19V,N2,19,EAST,13,,8,1,1,5.75,
N2-19V,N2,19,WEST,6,7,6,15,2,7.2,
N2-19V,N2,19,NORTH,ROOTS,5,ROOTS,6,3,4.666666667,
N2-19V,N2,19,SOUTH,ROOTS,25,14,14,17,17.5,
N2-20V,N2,20,SOUTH,4,2,1,1,1,1.8,
N2-20V,N2,20,WEST,1,1,2,1,1,1.2,
N2-20V,N2,20,EAST,4,2,1,3,3,2.6,
N2-20V,N2,20,NORTH,21,18,23,ROOTS,26,22,
N2-21V,N2,21,EAST,1,1,1,1,4,1.6,
N2-21V,N2,21,NORTH,ROOTS,13,16,7,9,11.25,
N2-21V,N2,21,WEST,ROOTS,ROOTS,20,25,10,18.33333333,
N2-21V,N2,21,SOUTH,10,11,18,18,13,14,
N2-26VB,N2,26,SOUTH,3,1,1,1,1,1.4,
N2-26VB,N2,26,WEST,9,6,4,7,4,6,
N2-26VB,N2,26,NORTH,6,9,4,5,8,6.4,
N2-26VB,N2,26,EAST,11,14,16,21,8,14,
N2-13VB,N3,14,EAST,,5,,,,na,LOTS OF CWD AND DECOMPOSING ROOTS - NOT ABLE TO GET FULL TRANSECT
N2-13VB,N4,15,SOUTH,1,6,10,12,20,9.8,
N2-13VB,N5,16,WEST,11,2,6,8,8,7,
